n,trial,time_dot,time_mul
1000,1,0.000494308,0.000368862
1000,2,0.00038745,0.000303102
1000,3,0.000264848,0.000227865
1000,4,0.000325453,0.000743738
1000,5,0.000366257,0.082000515
1000,6,0.000325149,0.000289098
1000,7,0.084256083,0.000342892
1000,8,0.000296801,0.000249097
1000,9,0.000278146,0.000857477
1000,10,0.000270658,0.000292123
2000,1,0.000522659,0.000720311
2000,2,0.000751475,0.000785044
2000,3,0.00078779,0.000784458
2000,4,0.000558419,0.00084446
2000,5,0.000817424,0.0007764
2000,6,0.00050377,0.000508679
2000,7,0.00095471,0.000838396
2000,8,0.000670951,0.000767379
2000,9,0.00083652,0.000947215
2000,10,0.000547818,0.000545011
5000,1,0.004060301,0.00433593
5000,2,0.004340926,0.00435963
5000,3,0.004107772,0.004323929
5000,4,0.004314339,0.004479783
5000,5,0.003604433,0.003514733
5000,6,0.003491013,0.003868778
5000,7,0.005175702,0.004382252
5000,8,0.004224853,0.004349689
5000,9,0.004204668,0.004223787
5000,10,0.004266513,0.004348981
10000,1,0.012400527,0.012323942
10000,2,0.012687528,0.012812249
10000,3,0.012818202,0.012800511
10000,4,0.012022527,0.016417025
10000,5,0.01212483,0.012432894
10000,6,0.012975366,0.012432173
10000,7,0.022314379,0.011906512
10000,8,0.012643837,0.012446028
10000,9,0.013095868,0.012042895
10000,10,0.012554297,0.012795824
