n,trial,time_dot,time_mul
100,0,0.000124,0.000113
100,1,0.000119,0.000116
100,2,0.000115,0.000173
100,3,0.000115,0.000112
100,4,0.000115,0.000112
100,5,0.000164,0.000185
100,6,0.000117,0.000112
100,7,0.000119,0.000109
100,8,0.000112,0.000109
100,9,0.000141,0.000118
200,0,0.000333,0.000314
200,1,0.000334,0.000287
200,2,0.000294,0.000287
200,3,0.000293,0.000324
200,4,0.000300,0.000339
200,5,0.000295,0.000375
200,6,0.000296,0.000287
200,7,0.000333,0.000287
200,8,0.000328,0.000287
200,9,0.000329,0.000287
500,0,0.001592,0.001585
500,1,0.002063,0.002318
500,2,0.001689,0.001672
500,3,0.001848,0.001745
500,4,0.001722,0.001656
500,5,0.001644,0.001617
500,6,0.001636,0.001622
500,7,0.001637,0.001616
500,8,0.001655,0.001763
500,9,0.001633,0.002661
