n,trial,time_dot,time_mul
100,0,0.000250,0.000239
100,1,0.000219,0.000207
100,2,0.000216,0.000206
100,3,0.000214,0.000211
100,4,0.000220,0.000246
100,5,0.000125,0.000120
100,6,0.000132,0.000120
100,7,0.000119,0.000115
100,8,0.000126,0.000116
100,9,0.000123,0.000116
200,0,0.000567,0.000552
200,1,0.000343,0.000333
200,2,0.000338,0.000323
200,3,0.000573,0.000406
200,4,0.000358,0.000384
200,5,0.000397,0.000318
200,6,0.000367,0.000304
200,7,0.000322,0.000368
200,8,0.000448,0.000398
200,9,0.000323,0.000321
500,0,0.001602,0.001542
500,1,0.001643,0.001606
500,2,0.001698,0.001708
500,3,0.001632,0.001608
500,4,0.001555,0.001534
500,5,0.002188,0.001677
500,6,0.001709,0.001644
500,7,0.001639,0.001626
500,8,0.001694,0.001621
500,9,0.001685,0.002557
1000,0,0.005646,0.005551
1000,1,0.005881,0.005659
1000,2,0.005668,0.005783
1000,3,0.005910,0.006345
1000,4,0.006009,0.005691
1000,5,0.005713,0.005680
1000,6,0.006644,0.006337
1000,7,0.005535,0.006339
1000,8,0.006056,0.005728
1000,9,0.005712,0.006391
2000,0,0.022874,0.023166
2000,1,0.024001,0.022416
2000,2,0.022125,0.022503
2000,3,0.023828,0.023124
2000,4,0.022236,0.022226
2000,5,0.023090,0.024281
2000,6,0.022244,0.022195
2000,7,0.022084,0.022051
2000,8,0.022831,0.022238
2000,9,0.023440,0.022782
5000,0,0.140188,0.138988
5000,1,0.143984,0.135563
5000,2,0.135604,0.139246
5000,3,0.153042,0.135608
5000,4,0.131638,0.132007
5000,5,0.198102,0.176605
5000,6,0.138670,0.141396
5000,7,0.142197,0.142612
5000,8,0.137213,0.138869
5000,9,0.134939,0.142285
